Open,Close,High,Low,Volume,Date
4,4.0525,4.06,3.965,,11/04/20
3.9625,4.01,4.0325,3.9525,,11/03/20
3.96,3.975,3.9775,3.93,,11/02/20
3.9725,3.985,4,3.9425,,10/30/20
4.01,3.985,4.0425,3.93,,10/29/20
4.15,4.015,4.1525,4.005,,10/28/20
4.1675,4.16,4.2225,4.155,,10/27/20
4.1875,4.1775,0,4.1275,,10/26/20
4.1925,4.1875,4.1975,4.17,,10/25/20
4.15,4.1925,4.2,4.14,,10/23/20
4.1375,4.1625,4.19,4.1075,,10/22/20
4.0825,4.1375,4.1525,4.0775,,10/21/20
4.0425,4.0875,4.0975,4.035,,10/20/20
4.0175,4.0525,4.0675,4.0075,,10/19/20
4.0325,4.02,4.09,4.0175,,10/16/20
3.96,4.0375,4.0425,3.935,,10/15/20
3.91,3.965,3.975,3.88,,10/14/20
3.89,3.9125,3.9275,3.88,,10/13/20
3.955,3.89,3.9925,3.8725,,10/12/20
3.87,3.95,3.9825,3.865,,10/09/20
3.89,3.87,3.945,3.865,,10/08/20
3.845,3.8875,3.92,3.84,,10/07/20
3.785,3.85,3.8925,3.785,,10/06/20
3.7875,3.795,3.825,3.7775,,10/05/20
3.815,3.7975,3.8325,3.7725,,10/02/20
3.79,3.8275,3.855,3.78,,10/01/20
3.6425,3.79,3.8275,3.62,,09/30/20
3.6675,3.6475,3.6775,3.61,,09/29/20
3.6425,3.6675,3.6975,3.605,,09/28/20
3.6325,3.6525,3.675,3.63,,09/25/20
3.68,3.635,3.6825,3.63,,09/24/20
3.6825,3.685,3.7025,3.6575,,09/23/20
3.6975,3.6925,3.7325,3.6575,,09/22/20
3.775,3.6975,3.7825,3.6825,,09/21/20
3.7425,3.785,3.7925,3.7325,,09/18/20
3.715,3.7525,3.7725,3.68,,09/17/20
3.655,3.7175,3.72,3.6175,,09/16/20
0,3.66,0,3.6525,,09/15/20
3.6675,3.575,3.6675,3.59,,09/14/20
3.555,3.65,3.66,3.555,,09/11/20
3.4975,3.5725,3.5775,3.4975,,09/10/20
3.4975,3.5,3.5125,3.485,,09/09/20
3.48,3.51,3.53,3.46,,09/08/20
3.44,3.4725,3.49,3.435,,09/04/20
3.4975,3.445,3.5,3.4375,,09/03/20
3.4925,3.4975,3.505,3.4525,,09/02/20
3.4775,3.495,3.5,3.4325,,09/01/20
3.4875,3.485,3.53,3.46,,08/31/20
3.4325,3.46,3.4775,3.4075,,08/28/20
3.4,3.4425,3.4475,3.39,,08/27/20
3.4025,3.405,3.4125,3.3725,,08/26/20
3.35,3.4075,3.415,3.3475,,08/25/20
3.28,3.3175,3.325,3.275,,08/24/20
3.2475,3.27,3.2775,3.2425,,08/21/20
3.2425,3.245,3.2575,3.2075,,08/20/20
3.26,3.25,3.2725,3.235,,08/19/20
3.3,3.27,3.32,3.2575,,08/18/20
3.27,3.31,3.31,3.265,,08/17/20
3.245,3.245,3.2525,3.215,,08/14/20
3.15,3.2525,3.275,3.1475,,08/13/20
3.1125,3.145,3.15,3.08,,08/12/20
3.1125,3.115,3.15,3.1025,,08/11/20
3.075,3.105,3.1175,3.075,,08/10/20
3.11,3.0775,3.1175,3.0725,,08/07/20
3.105,3.1125,3.1275,3.095,,08/06/20
3.09,3.11,3.1125,3.09,,08/05/20
3.165,3.0825,3.1675,3.0825,,08/04/20
3.15,3.175,3.1825,3.15,,08/03/20
3.1575,3.16,3.175,3.145,,07/31/20
3.155,3.1575,3.1925,3.1525,,07/30/20
3.2,3.155,3.215,3.1525,,07/29/20
3.23,3.2,3.235,3.2,,07/28/20
3.2525,3.25,3.275,3.2325,,07/27/20
3.28,3.2625,3.2975,3.255,,07/24/20
3.2725,3.28,3.295,3.25,,07/23/20
3.23,3.275,3.28,3.2225,,07/22/20
3.2775,3.2275,3.2775,3.22,,07/21/20
3.33,3.2825,3.335,3.26,,07/20/20
3.3025,3.33,3.3475,3.3025,,07/17/20
3.26,3.3025,3.3325,3.26,,07/16/20
0,3.2625,3.2875,3.2275,,07/15/20
3.34,3.3475,3.365,3.245,,07/14/20
3.3725,3.34,3.3725,3.32,,07/13/20
3.5025,3.405,3.52,3.4,,07/10/20
3.49,3.5125,3.565,3.4825,,07/09/20
3.435,3.4825,3.485,3.41,,07/08/20
3.475,3.45,3.475,3.4175,,07/07/20
3.4825,3.465,3.49,3.4525,,07/06/20
3.475,3.425,3.5025,3.4225,,07/02/20
3.385,3.4825,3.5125,3.375,,07/01/20
3.2525,3.385,3.42,3.2375,,06/30/20
3.1675,3.2625,3.265,3.16,,06/29/20
3.17,3.17,3.1975,3.135,,06/26/20
3.235,3.1725,3.2425,3.15,,06/25/20
3.245,3.2425,3.29,3.2375,,06/24/20
3.275,3.25,3.275,3.2125,,06/23/20
3.32,3.2825,3.3225,3.28,,06/22/20
3.2975,3.325,3.3375,3.275,,06/19/20
3.2975,3.31,3.3375,3.2875,,06/18/20
3.28,3.3025,3.3125,3.25,,06/17/20
3.3175,3.29,3.345,3.28,,06/16/20
3.2925,3.2925,3.3,3.255,,06/15/20
3.295,3.3,3.33,3.2825,,06/12/20
3.26,3.2975,3.31,3.2525,,06/11/20
3.2725,3.2625,3.28,3.2425,,06/10/20
3.3225,3.275,3.34,3.2675,,06/09/20
3.335,3.3375,3.3475,3.31,,06/08/20
3.2875,3.3125,3.325,3.2825,,06/05/20
3.2425,3.29,3.295,3.24,,06/04/20
3.2425,3.24,3.245,3.2125,,06/03/20
3.235,3.2425,3.2525,3.22,,06/02/20
3.255,3.2325,3.2775,3.1925,,06/01/20
3.275,3.2575,3.295,3.2325,,05/29/20
3.2025,3.275,3.3075,3.195,,05/28/20
3.2,3.205,3.2175,3.1925,,05/27/20
3.1675,3.19,3.23,3.165,,05/26/20
3.1775,3.18,3.19,3.16,,05/22/20
3.19,3.1775,3.2025,3.1625,,05/21/20
3.2125,3.195,3.215,3.1725,,05/20/20
3.2075,3.2125,3.255,3.205,,05/19/20
3.2,3.2075,3.22,3.18,,05/18/20
0,3.1925,3.205,0,,05/15/20
0,3.2025,0,0,,05/14/20
3.235,3.2025,3.235,3.2,,05/13/20
3.1875,3.2375,3.245,3.1275,,05/12/20
3.2,3.185,3.2225,3.18,,05/11/20
3.1775,3.19,3.2175,3.175,,05/08/20
3.135,3.16,3.18,3.1325,,05/07/20
3.15,3.1175,3.15,3.11,,05/06/20
3.105,3.13,3.1475,3.105,,05/05/20
3.095,3.1075,3.1,3.055,,05/04/20
3.11,3.115,3.115,3.08,,05/01/20
3.0525,3.115,3.13,3.035,,04/30/20
3.0275,3.045,3.0875,3.0025,,04/29/20
3.05,3.0275,3.085,3.0125,,04/28/20
3.15,3.055,3.1575,3.0425,,04/27/20
